asset,config,total_invested,final_value,profit,profit_per_$,avg_cost_basis,max_dd_pv
SP500,vanilla,70500.0,180405.79,109905.79,1.5589,944.3805,-0.5441
SP500,enhanced/conservative,77690.95,199956.64,122265.69,1.5737,938.9511,-0.543
SP500,enhanced/default,83381.32,215634.37,132253.06,1.5861,934.4566,-0.5421
SP500,enhanced/aggressive,93039.73,242109.53,149069.8,1.6022,928.6775,-0.5409
SP500,enhanced/default-nopause,83381.32,215634.37,132253.06,1.5861,934.4566,-0.5421
AAPL,vanilla,10380.0,21039.81,10659.81,1.027,157.3245,-0.3407
AAPL,enhanced/conservative,9840.44,19969.43,10129.0,1.0293,157.141,-0.3457
AAPL,enhanced/default,9895.87,20079.57,10183.7,1.0291,157.1595,-0.3449
AAPL,enhanced/aggressive,10006.74,20299.84,10293.1,1.0286,157.1958,-0.3433
AAPL,enhanced/default-nopause,10535.87,21350.83,10814.96,1.0265,157.3608,-0.339
